"ID","EMAIL_HASH","C","VALUE","CASE_STATUS"
3194787,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194788,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194789,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194790,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194792,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194795,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194800,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194803,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194806,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194810,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194811,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194815,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194818,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194819,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194821,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194825,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194826,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194827,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194828,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194830,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194831,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194836,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194840,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194844,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194846,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194854,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194857,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194860,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194862,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194866,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194869,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194871,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194874,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194876,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194878,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194882,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194887,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194890,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194892,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194894,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194898,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194900,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194903,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194908,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194911,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194915,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194918,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194921,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194925,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194928,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194930,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194932,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194934,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194939,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194943,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194945,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194949,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194952,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194956,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194959,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194964,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194967,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194970,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194973,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194977,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194982,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194985,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194989,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194993,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3194999,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195001,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195003,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195008,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195011,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195012,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195013,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195014,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195020,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195021,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195023,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195026,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195031,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195035,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195037,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195040,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195043,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195045,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195047,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195051,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195054,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195057,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195061,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195063,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195068,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195070,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195077,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195082,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195083,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195086,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195088,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Open","Updated"
3195091,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195093,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3195096,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
