"ID","ID_1","EMAIL_HASH","C","VALUE","CASE_STATUS"
2960631,4184082,"tpM01c/0tsWSqmrmQjvvjg==",11,"Closed","Updated"
2960631,4184135,"tpM01c/0tsWSqmrmQjvvjg==",11,"Closed","Updated"
3202238,4192800,"tyayIb4XS0zCZePNiODPnQ==",2,"Open","Updated"
3202238,4192802,"tyayIb4XS0zCZePNiODPnQ==",2,"Open","Updated"
3179748,4188302,"uB4bAukbw5I4kFRFJa2KIA==",2,"Open","Updated"
3179748,4188327,"uB4bAukbw5I4kFRFJa2KIA==",2,"Open","Updated"
3163419,4190114,"uZgDNo2En6KvdofjDrbbVA==",4,"Open","Updated"
3163419,4190272,"uZgDNo2En6KvdofjDrbbVA==",4,"Open","Updated"
3163419,4190400,"uZgDNo2En6KvdofjDrbbVA==",4,"Open","Updated"
3163419,4190420,"uZgDNo2En6KvdofjDrbbVA==",4,"Open","Updated"
3186161,4189006,"udrXdvHu/9PEEpI1HSjMBA==",2,"Closed","Updated"
3186161,4189041,"udrXdvHu/9PEEpI1HSjMBA==",2,"Closed","Updated"
3190390,4186539,"uecVQpLVhINKCQaEFDO6tg==",2,"Closed","Updated"
3190390,4186604,"uecVQpLVhINKCQaEFDO6tg==",2,"Closed","Updated"
3187964,4189390,"v7tQZAup27MqI8Q/HUAq/w==",2,"Closed","Updated"
3187964,4189400,"v7tQZAup27MqI8Q/HUAq/w==",2,"Closed","Updated"
3196894,4189340,"vOTQTjjD5GNxPeBN5rZZ4w==",3,"Closed","Updated"
3196894,4189573,"vOTQTjjD5GNxPeBN5rZZ4w==",3,"Closed","Updated"
3196894,4189649,"vOTQTjjD5GNxPeBN5rZZ4w==",3,"Closed","Updated"
3193947,4186161,"vRuXMiGoKIb8JlxBrNuzcw==",2,"Closed","Updated"
3193947,4186631,"vRuXMiGoKIb8JlxBrNuzcw==",2,"Closed","Updated"
3160870,4189690,"vT5/gaayJnTdYKttUl3qvg==",2,"Closed","Updated"
3160870,4189762,"vT5/gaayJnTdYKttUl3qvg==",2,"Closed","Updated"
3196504,4188662,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3196504,4188667,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3196504,4188671,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3196504,4188680,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3196504,4188692,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3196504,4188695,"vTpw/J+gWbJGK+LBbGEcdg==",6,"Closed","Updated"
3184156,4188569,"vsMVeGgMcF6SwKqIgDhRJQ==",2,"Open","Updated"
3184156,4188573,"vsMVeGgMcF6SwKqIgDhRJQ==",2,"Open","Updated"
3196150,4187207,"vtAreRT4djmKE9vREXcUMg==",2,"Closed","Updated"
3196150,4187228,"vtAreRT4djmKE9vREXcUMg==",2,"Closed","Updated"
3189333,4186126,"wAIWgWpYnYPtbOy1oax8Gg==",3,"Closed","Updated"
3189333,4186137,"wAIWgWpYnYPtbOy1oax8Gg==",3,"Closed","Updated"
3189333,4186543,"wAIWgWpYnYPtbOy1oax8Gg==",3,"Closed","Updated"
3193252,4188637,"wIzaOnXPm8n0xVEK+i7mwg==",2,"Closed","Updated"
3193252,4188642,"wIzaOnXPm8n0xVEK+i7mwg==",2,"Closed","Updated"
3180328,4186404,"wK/E8n+6aoN7jD5JHhGu/Q==",2,"Closed","Updated"
3180328,4186728,"wK/E8n+6aoN7jD5JHhGu/Q==",2,"Closed","Updated"
3187367,4185515,"wLvL1hSA/9qNerZcUTf7ZA==",2,"Closed","Updated"
3187367,4185912,"wLvL1hSA/9qNerZcUTf7ZA==",2,"Closed","Updated"
3162444,4190608,"wQajqkIslcKAAoglDhnZdg==",4,"Open","Updated"
3162444,4190697,"wQajqkIslcKAAoglDhnZdg==",4,"Open","Updated"
3162444,4190771,"wQajqkIslcKAAoglDhnZdg==",4,"Open","Updated"
3162444,4190801,"wQajqkIslcKAAoglDhnZdg==",4,"Open","Updated"
3161817,4188772,"wx0Du98o/X8lQQTn33g1mQ==",3,"Open","Updated"
3161817,4188780,"wx0Du98o/X8lQQTn33g1mQ==",3,"Open","Updated"
3161817,4188788,"wx0Du98o/X8lQQTn33g1mQ==",3,"Open","Updated"
3191408,4189062,"x75llxmLKHAEX+GOD91Z4Q==",2,"Closed","Updated"
3191408,4189065,"x75llxmLKHAEX+GOD91Z4Q==",2,"Closed","Updated"
3203374,4191592,"xJM7Luy+Z8EyBT1Wa40T2A==",2,"Closed","Updated"
